,ocr_name,true_name
0,beloeil,beloeil
1,,janati
2,psavid,djavid
3,plbourret,pibourret
4,lee9ens,lippens
5,,lea
6,eeenoeaednetrewnoura,bennoura
7,aathieo,mathieu
8,arthur,arthur
9,alexvanore,alexandre
10,tieve,etieve
11,evan,evan
12,,benjamin
13,,eloven
14,,huet
15,tecyvow,jeudon
16,watssiere,vaissieae
17,brule,brule
18,vaye,vaye
19,scheffer,scheffer
20,qahbelovi,ambelouis
21,thomas,thomas
22,aeneaeeseneremeowlalavy,lala
23,lous,louh
24,lous,louh
25,,max
26,aurore,aurore
27,,elvire
28,leo,leo
29,blanctharet,blanchart
30,werrhannafonso,empty
31,more,marie
32,lasnieq,lasnier
33,arthur,arthur
34,naalaval,malaval
35,lest,eloise
36,novrimen,nourimen
37,daannae,damman
38,naguer,naguer
39,clement,clement
40,yombarse,braji
41,aocell,axel
42,hrrie,marie
43,tjetanno,jehanno
44,caw,landes
45,pineau,pineau
46,piceyre,pigeyre
47,ael,adel
48,saaan,sarah
49,paul,paul
50,almanzrk,almanza
51,flores,flores
52,corent,corentin
53,classe6m,clara
54,alexkts,alexis
55,enora,enora
56,vianney,vianney
57,christpne,christine
58,omvincent,vincent
59,,shelly
60,pourgecis,bourgeois
61,pourgecis,bourgeois
62,fatmawnurtisegeinea,fatmanur
63,acecile,cecile
64,eoeeeeeeewuadrdn,chord
65,okraye,kraien
66,aylschooun,adeochoun
67,esteve,esteve
68,aeaaa,simon
69,,gabin
70,lucas,lucas
71,canlee,camille
72,zoe,zoe
73,,celia
74,mathonnet,mathonnet
75,tritsch,tritsch
76,,empty
77,cothenet,cothenet
78,,lucas
79,snat,sami
80,peaseaonadedant,redant
81,aeateeee,pierre alexandre
82,bourret,bourret
83,martine,martine
84,corratne,corraine
85,leterrier,leterrier
86,artthor,arthur
87,cfsury,de sury
88,anon,manon
89,calllet,caillet
90,potnstenon,poinsignon
91,demisnitmooyntroux,roux
92,,lola
93,thiebaud,thibaud
94,augustwn,augustin
95,chedourne,chadourne
96,aliyah,aliyah
97,delente,delente
98,ocernneaeasaas,oceanne
99,charlie,charlie
100,cumar,oumar
101,,de fabritus
102,percio,percio
103,aaaaaaa,empty
104,tadaseager,toch begram
105,cowchodron,couchouron
106,lidave,zidane
107,,thibaut
108,victor,victor
109,wiskive,nisrine
110,dyrashi,duraghi
111,rigord,rigord
112,yomfourdrtsentez,foukdrigniez
113,coillenocs,guillenois
114,alexis,alexis
115,soseph,joseph
116,plonecoo,plumecoq
117,evan,evan
118,pablo,pablo
119,vuethaw,nathan
120,,mayana
121,maxiee,maxime
122,jonet,jamet
123,bruweru,bruneau
124,maelle,maelle
125,frietman,frietman
126,alexandre,alexandre
127,hemery,hemery
128,segura,segura
129,lafrrgue,lafargue
130,srehay4ss7,maia
131,pvtee,chloe
132,ewes,enes
133,caccavellg,caccavelli
134,eeeaidet,aidet
135,,claire
136,gouapbeou,gonban
137,delassls,delassus
138,pannter,pannier
139,,martin
140,xstvr,isti
141,suberbielle,suberbielle
142,,jocelyn
