,soundex,double_metaphone,jaccard_2,jaccard_3,sorenson_2,sorenson_3,overlap_2,overlap_3,bag,levenshtein,dlevenshtein,jaro_winkler,smith_waterman,editex,lcsseq,lcsstr,bz2ncd,zlibncd
soundex,1.0,0.5151376026965411,0.8135168364754874,0.7862663800608847,0.8193077332457301,0.8031321538076402,0.741852946774712,0.7469789659280159,0.8183339993235409,0.8592424525731911,0.8592348837757113,0.7921254690774318,0.7968526509240926,0.9070268146402182,0.857118855848067,0.7210588386990237,0.46683844423620285,0.715203515273284
double_metaphone,0.5151376026965411,1.0,0.5358487929225714,0.5510089403359452,0.4461025573861249,0.4613205300497737,0.39014781450241465,0.41540254357497797,0.4653147816250855,0.4703876193602977,0.4706313835563377,0.38687324950038765,0.45487403734279114,0.4974165150250303,0.47322731825233844,0.43019539022788966,0.38842791739866905,0.4402909479882838
jaccard_2,0.8135168364754874,0.5358487929225714,1.0,0.9851274457356597,0.9796973017044003,0.9771916395511656,0.9402695733959127,0.9497987675052335,0.8547488535378229,0.9313950364839664,0.9307737177003976,0.8154981881127483,0.8597278057343916,0.9023704699711337,0.9196434508661411,0.8798653578929144,0.5006364592149396,0.8882504847520398
jaccard_3,0.7862663800608847,0.5510089403359452,0.9851274457356597,1.0,0.950358606580138,0.9781358114045557,0.9114486153369206,0.9513942288972814,0.816496116056739,0.8963857196133361,0.895673529125885,0.7804477563764433,0.8354205697718121,0.8699567938847003,0.8835076731283803,0.8839848011111966,0.48857498619752604,0.8803108357343671
sorenson_2,0.8193077332457301,0.4461025573861249,0.9796973017044003,0.950358606580138,1.0,0.98251709241148,0.9739518261819354,0.9662437566709541,0.8499108064676696,0.9461034669327673,0.9454794899167879,0.8435941644611443,0.8605597125483476,0.9145828380256159,0.9294919847259538,0.8889863051766642,0.4806169823944429,0.8916383378378715
sorenson_3,0.8031321538076402,0.4613205300497737,0.9771916395511656,0.9781358114045557,0.98251709241148,1.0,0.9562709136654765,0.9843719950386094,0.820311403236664,0.9222991249956242,0.9215560331847242,0.8180469422849544,0.8472612836604739,0.8932093214724866,0.903857019683772,0.898649482053979,0.47373677535196695,0.8974542771965268
overlap_2,0.741852946774712,0.39014781450241465,0.9402695733959127,0.9114486153369206,0.9739518261819354,0.9562709136654765,1.0,0.9798600213323291,0.7458559180438726,0.8786718024855643,0.8778318719810723,0.7964704003142353,0.7594787574303177,0.8351931080283419,0.8440302939355738,0.8466243332250303,0.41274041709264714,0.8407787102638513
overlap_3,0.7469789659280159,0.41540254357497797,0.9497987675052335,0.9513942288972814,0.9662437566709541,0.9843719950386094,0.9798600213323291,1.0,0.7445550873805103,0.8735060737391227,0.8726009068605578,0.7852960255904127,0.7726665114054454,0.8353620571599415,0.8420515450940874,0.8686882180040388,0.4216705661521187,0.8616039396110213
bag,0.8183339993235409,0.4653147816250855,0.8547488535378229,0.816496116056739,0.8499108064676696,0.820311403236664,0.7458559180438726,0.7445550873805103,1.0,0.905074846233489,0.9063605074710234,0.8311000358831189,0.8873679746254269,0.8849655872453962,0.9515214952734771,0.7662569719238214,0.49683030450511034,0.7676426859445455
levenshtein,0.8592424525731911,0.4703876193602977,0.9313950364839664,0.8963857196133361,0.9461034669327673,0.9222991249956242,0.8786718024855643,0.8735060737391227,0.905074846233489,1.0,0.9995257678669992,0.8680411884473545,0.9279767488332273,0.9682097331747461,0.9732120337736523,0.8536907716930873,0.5135736060763202,0.8621611399744501
