,ocr_kte,pen,wm,ocr,wj,ab_kte,alt_tse,alt,kte,se,tse_kte,wm_kte,ab,se_kte,pen_kte,wj_kte,he,alt_kte,tse,ocr_tse,he_kte
soundex,0.006012158732906454,0.16249660929440574,0.05708761814689248,0.12059234632304508,0.9181669394435352,0.05123495902792684,0.04300358227681707,0.32747236455945855,0.30555396094924386,0.9061678230866266,0.1811030230707539,0.0421362468445724,0.08306557139210932,0.31013120452866616,0.010092386341175224,0.32773459990397485,0.55227640795252,0.03210736121266386,0.23684535888942487,0.019625741854925598,0.11460650684682057
double_metaphone,0.004147673742824359,0.22080173295088457,0.05514259645570594,0.07897412715083513,0.9092382495948136,0.05392688535510474,0.0721027855166163,0.28909807422364575,0.08518192202887206,0.8278592557627427,0.07220870704186856,0.05483942723592836,0.061220735209346885,0.07901474941998055,0.011212858915064797,0.09947474048549743,0.5025266125534,0.03528467490494098,0.0910657946070022,0.011665284319243262,0.0323910278604207
jaccard_2,0.008250361522193541,0.08588341932667161,0.2237489235037494,0.14120317130407975,1.0,0.07756118076691937,0.039019718334741514,0.24550269487493448,0.4372946609016431,0.98268035159782,0.30863988375282003,0.06574406976412325,0.46174225638970573,0.20419895013951786,0.014252102085267502,0.47600096854066654,0.9531684943768551,0.022615482137912528,0.8363358984836667,0.015344062444265822,0.21412994477540845
jaccard_3,0.00592835409635107,0.0705147287392286,0.24308038486303926,0.10187936634062333,1.0,0.06413336861718358,0.02408477912197847,0.20365259681952025,0.373835470734669,0.9774450088770409,0.22157432016707643,0.06130984466253722,0.4701648697490551,0.13856286182963096,0.005939908522778053,0.40790755182248567,0.9126181253868595,0.017859385119282048,0.8309135391025254,0.010647507305244722,0.1447046386213177
sorenson_2,0.008250361522193541,0.08588341932667161,0.2237489235037494,0.14120317130407975,1.0,0.07756118076691937,0.039019718334741514,0.24550269487493448,0.4372946609016431,0.98268035159782,0.30863988375282003,0.06574406976412325,0.46174225638970573,0.20419895013951786,0.014252102085267502,0.47600096854066654,0.9531684943768551,0.022615482137912528,0.8363358984836667,0.015344062444265822,0.21412994477540845
sorenson_3,0.00592835409635107,0.0705147287392286,0.24308038486303926,0.10187936634062333,1.0,0.06413336861718358,0.02408477912197847,0.20365259681952025,0.373835470734669,0.9774450088770409,0.22157432016707643,0.06130984466253722,0.4701648697490551,0.13856286182963096,0.005939908522778053,0.40790755182248567,0.9126181253868595,0.017859385119282048,0.8309135391025254,0.010647507305244722,0.1447046386213177
overlap_2,0.007654235147951261,0.15042396943055814,0.8740654434237999,0.17914186442515762,0.998220640569395,0.171756821316341,0.05234283329993082,0.2551259320104038,0.3089785399029249,0.966198613185058,0.3021688068435502,0.18872987209611805,0.9251249176707198,0.1700908501358685,0.026899223665387294,0.3619204411144713,0.9038561245946736,0.022204424887911897,0.9542204021780758,0.017039269090043614,0.14123510303244632
overlap_3,0.005573704576117735,0.0941568840047547,0.7595366760434888,0.12411429972572975,0.998220640569395,0.10524569701847872,0.030350234549972356,0.21017909311766472,0.28904356611298576,0.9643686900514314,0.21538000286973713,0.12130642346017495,0.8820057291463532,0.12192473095991294,0.007014454223846277,0.3342871204735834,0.8627047976766663,0.018736495382072928,0.9388111984265257,0.010280805136715504,0.10486155460918575
bag,0.007491910708917901,0.06726769789471693,0.04302294729125354,0.10963619486591637,1.0,0.04978291719044603,0.022850926693759793,0.23453799269595474,0.5333122018374928,0.9334615664391552,0.25917141995195286,0.03489018583204464,0.08484388484783664,0.23065878274650953,0.00457630634281935,0.5614434012259297,0.9237695917714688,0.01750009690686028,0.36228016831970183,0.014648387521901948,0.23431426190003263
levenshtein,0.014440275005431134,0.08197152533461871,0.06484057741682266,0.19115694230777155,1.0,0.06801470007232108,0.03485701007123096,0.2836201421451726,0.6715781155616498,0.9620371214521942,0.3765139126046867,0.0497608768497374,0.1348087520274314,0.3484315744527319,0.0056389182740310476,0.6912389421992745,0.770309375933661,0.02119035895709557,0.5177797287570404,0.0232417043011905,0.2517091451965242
